Model,Dataset,Threshold,Mean Pred,Precision,Recall,F1 Score,ROC AUC,Brier Score,ACE,FPR,FNR,Total Pos Pred
LGBM Basic,Test,0.5,0.0216078161390533,0.84,0.42,0.56,0.8778285714285714,0.019480222631734653,0.010997832243012987,0.0025396825396825397,0.58,25
LGBM Basic (T),Test,0.001612799829650671,0.0216078161390533,0.09468822170900693,0.82,0.16977225672877846,0.8778285714285714,0.019480222631734653,0.010997832243012987,0.24888888888888888,0.18,433
LGBM Basic Tuned,Test,0.5,0.02807471267627973,1.0,0.32,0.48484848484848486,0.8760380952380953,0.020383251765102386,0.008335027531117466,0.0,0.68,16
LGBM Basic Tuned (T),Test,0.06142875338257537,0.02807471267627973,0.22758620689655173,0.66,0.3384615384615385,0.8760380952380953,0.020383251765102386,0.008335027531117466,0.07111111111111111,0.34,145
LGBM Over,Test,0.5,0.040768883445426826,0.5217391304347826,0.48,0.5,0.8492063492063491,0.026313709183597114,0.031162920095458204,0.013968253968253968,0.52,46
LGBM Over Tuned,Test,0.5,0.019954565390549454,0.7586206896551724,0.44,0.5569620253164557,0.8497650793650793,0.020209709303299003,0.01376698370269594,0.0044444444444444444,0.56,29
LGBM Weighted,Test,0.5,0.045117789092166856,0.5,0.5,0.5,0.851504761904762,0.027213371107687807,0.02911666586289851,0.015873015873015872,0.5,50
LGBM Weighted Tuned,Test,0.5,0.05070361690712198,0.5,0.46,0.4791666666666667,0.8504,0.027251481185271126,0.033892288953150704,0.014603174603174604,0.54,46
Logistic Basic,Test,0.5,0.03106259126722134,0.0,0.0,0.0,0.7523047619047619,0.029567489223499357,0.014870066663079705,0.0006349206349206349,1.0,1
Logistic Basic (T),Test,0.02503495449911148,0.03106259126722134,0.06883365200764818,0.72,0.1256544502617801,0.7523047619047619,0.029567489223499357,0.014870066663079705,0.3092063492063492,0.28,523
Logistic Over,Test,0.5,0.34996134315444577,0.06196581196581197,0.58,0.11196911196911197,0.743695238095238,0.1859926401336306,0.3186029245467361,0.2787301587301587,0.42,468
Logistic Weighted,Test,0.5,0.34955430268040466,0.06578947368421052,0.6,0.11857707509881422,0.7515301587301588,0.18328846589112338,0.31819765351789703,0.2704761904761905,0.4,456
